LCSC,MPN,Manufacturer,Description,Category,Symbol,Footprint,Value,Package,Datasheet,Model3D,Lifecycle,Source,SourceFootprint,LCSC_URL,Specifications,Notes,ReviewStatus,SourceBundles
C106199,CC0402JRNPO9BN100,YAGEO,10pF ±5% 50V Ceramic Capacitor NP0 0402,Capacitors/Ceramic Capacitors,C_10pF_0402,C_0402_1005Metric,10pF,0402,https://datasheet.lcsc.com/datasheet/pdf/4eca2bb4b507f1633db47e922d632b95.pdf?productCode=C106199,,Active,LCSC,C0402,https://www.lcsc.com/product-detail/C106199.html,Package: 0402; Capacitance: 10pF; Temperature Coefficient: NP0; Tolerance: ±5%; Voltage Rating: 50V,"Designators: C27, C28, C29, C33, C37, C65, C66, C67, C68, C69, C70, C71, C73, C74, C75, C76, C86",METADATA_READY,X200T_ECU_B1_V1.0_20240809
C106858,CC0603KRX7R8BB105,YAGEO,1uF ±10% 25V Ceramic Capacitor X7R 0603,Capacitors/Ceramic Capacitors,C_1uF_0603,C_0603_1608Metric,1uF,0603,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C106858,,Active,LCSC,C0603,https://www.lcsc.com/product-detail/C106858.html,Package: 0603; Capacitance: 1uF; Temperature Coefficient: X7R; Tolerance: ±10%; Voltage Rating: 25V,"Designators: C31, C45, C49, C52",METADATA_READY,X200T_ECU_B1_V1.0_20240809
C106861,CC0402KRX7R9BB222,YAGEO,2.2nF ±10% 50V Ceramic Capacitor X7R 0402,Capacitors/Ceramic Capacitors,C_2_2nF_0402,C_0402_1005Metric,2.2nF,0402,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C106861,,Active,LCSC,C0402,https://www.lcsc.com/product-detail/C106861.html,Package: 0402; Capacitance: 2.2nF; Temperature Coefficient: X7R; Tolerance: ±10%; Voltage Rating: 50V,"Designators: C14, C15",METADATA_READY,X200T_ECU_B1_V1.0_20240809
C113803,CC0603KRX7R0BB104,YAGEO,100nF ±10% 100V Ceramic Capacitor X7R 0603,Capacitors/Ceramic Capacitors,C_100nF_0603,C_0603_1608Metric,100nF,0603,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C113803,,Active,LCSC,C0603,https://www.lcsc.com/product-detail/C113803.html,Package: 0603; Capacitance: 100nF; Temperature Coefficient: X7R; Tolerance: ±10%; Voltage Rating: 100V,"Designators: C4, C13",METADATA_READY,X200T_ECU_B1_V1.0_20240809
C113804,CC0603KRX7R0BB222,YAGEO,2.2nF ±10% 100V Ceramic Capacitor X7R 0603,Capacitors/Ceramic Capacitors,C_2_2nF_0603,C_0603_1608Metric,2.2nF,0603,https://datasheet.lcsc.com/datasheet/pdf/23ccee80ee542e7cf156a772bb589942.pdf?productCode=C113804,,Active,LCSC,C0603,https://www.lcsc.com/product-detail/C113804.html,Package: 0603; Capacitance: 2.2nF; Temperature Coefficient: X7R; Tolerance: ±10%; Voltage Rating: 100V,"Designators: C1, C56, C57, C58, C62, C63, C64",METADATA_READY,X200T_ECU_B1_V1.0_20240809
C15725,CL10B104KC8NNNC,Samsung Electro-Mechanics,100nF ±10% 100V Ceramic Capacitor X7R 0603,Capacitors/Ceramic Capacitors,C_100nF_0603,C_0603_1608Metric,100nF,0603,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C15725,,Active,LCSC,0603-100nF-100V-10%,https://www.lcsc.com/product-detail/C15725.html,Package: 0603; Capacitance: 100nF; Temperature Coefficient: X7R; Tolerance: ±10%; Voltage Rating: 100V,"Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: C7,C15,C23",METADATA_READY,legacy_import
C1705,CL10A475KP8NNNC,Samsung Electro-Mechanics,4.7uF ±10% 10V Ceramic Capacitor X5R 0603,Capacitors/Ceramic Capacitors,C_4_7uF_0603,C_0603_1608Metric,4.7uF,0603,https://datasheet.lcsc.com/datasheet/pdf/02336ea48ea44ca18c72517dd3cb7b47.pdf?productCode=C1705,,Active,LCSC,0603-4.7uF-10V-10%,https://www.lcsc.com/product-detail/C1705.html,Package: 0603; Capacitance: 4.7uF; Temperature Coefficient: X5R; Tolerance: ±10%; Voltage Rating: 10V,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: C51,METADATA_READY,legacy_import
C23829972,GRM188D72A105KE01D,muRata,1uF ±10% 100V Ceramic Capacitor X7T 0603,Capacitors/Ceramic Capacitors,C_1uF_0603,C_0603_1608Metric,1uF,0603,https://datasheet.lcsc.com/datasheet/pdf/342cc637d93cd94474def6cbba680777.pdf?productCode=C23829972,,Active,LCSC,0603-1uF-100V-10%,https://www.lcsc.com/product-detail/C23829972.html,Package: 0603; Capacitance: 1uF; Temperature Coefficient: X7T; Tolerance: ±10%; Voltage Rating: 100V,"Sources: BOM_PASTER_8984112A_Y185.xls; Designators: BOM_PASTER_8984112A_Y185.xls: C15,C16",METADATA_READY,legacy_import
C2803380,CL05Y105KP6VPNC,Samsung Electro-Mechanics,1uF ±10% 10V Ceramic Capacitor X7S 0402,Capacitors/Ceramic Capacitors,C_1uF_0402,C_0402_1005Metric,1uF,0402,https://datasheet.lcsc.com/datasheet/pdf/0b5a285c1df7dac78985feb71e334603.pdf?productCode=C2803380,,Active,LCSC,0402-1uF-10V-10%,https://www.lcsc.com/product-detail/C2803380.html,Package: 0402; Capacitance: 1uF; Temperature Coefficient: X7S; Tolerance: ±10%; Voltage Rating: 10V,"Sources: BOM_PASTER_8984112A_Y182.xls, BOM_PASTER_8984112A_Y185.xls, BOM_PASTER_8984112A_Y189.xls; Designators: BOM_PASTER_8984112A_Y182.xls: C2,C25,C28,C53; BOM_PASTER_8984112A_Y185.xls: C8,C11,C13,C17,C25,C26; BOM_PASTER_8984112A_Y189.xls: C2",METADATA_READY,legacy_import
C3039698,CL10B106MQ8NRNC,Samsung Electro-Mechanics,10uF ±20% 6.3V Ceramic Capacitor X7R 0603,Capacitors/Ceramic Capacitors,C_10uF_0603,C_0603_1608Metric,10uF,0603,https://datasheet.lcsc.com/datasheet/pdf/25aeaed41ae8f3c7d2a7fa32796a6299.pdf?productCode=C3039698,,Active,LCSC,0603-10uF-6.3V-20%,https://www.lcsc.com/product-detail/C3039698.html,Package: 0603; Capacitance: 10uF; Temperature Coefficient: X7R; Tolerance: ±20%; Voltage Rating: 6.3V,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: C20,METADATA_READY,legacy_import
C307331,CL05B104KB54PNC,SAMSUNG,100nF ±10% 50V Ceramic Capacitor X7R,Capacitors/Ceramic Capacitors,,,100nF,0402,https://atta.szlcsc.com/upload/public/pdf/source/20160218/1457707763339.pdf,,Active,LCSC,0402-100nF-50V-10%,https://item.szlcsc.com/291005.html,Package: 0402; Capacitance: 100nF; Tolerance: ±10%; Voltage Rating: 50V; Temperature Coefficient: X7R,"Designators: Y43-C1,C3,C6,C9,C10,C12,C14,C15,C18",METADATA_READY,Y43
