LCSC,MPN,Manufacturer,Description,Category,Symbol,Footprint,Value,Package,Datasheet,Model3D,Lifecycle,Source,SourceFootprint,LCSC_URL,Specifications,Notes,ReviewStatus
C100044,,,Imported from legacy JLC paste BOM,,,,9990000055668,贴片电阻,,,Unknown,LCSC,贴片电阻,https://www.lcsc.com/product-detail/C100044.html,,"Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: R52,R53,R54,R55,R56",PENDING_ENRICHMENT
C105871,,,Imported from legacy JLC paste BOM,,,,0402-4.7K-1%,RC0402FR-074K7L,,,Unknown,LCSC,RC0402FR-074K7L,https://www.lcsc.com/product-detail/C105871.html,,"Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: R37,R41,R45",PENDING_ENRICHMENT
C106225,,,Imported from legacy JLC paste BOM,,,,0201-10K-1%,RC0201FR-0710KL,,,Unknown,LCSC,RC0201FR-0710KL,https://www.lcsc.com/product-detail/C106225.html,,"Sources: BOM_PASTER_8984112A_Y182.xls, BOM_PASTER_8984112A_Y185.xls; Designators: BOM_PASTER_8984112A_Y182.xls: R2,R32,R33,R39,R49,R50,R51; BOM_PASTER_8984112A_Y185.xls: R2,R3,R4,R7,R9,R11",PENDING_ENRICHMENT
C106226,,,Imported from legacy JLC paste BOM,,,,0201-10Ω-1%,RC0201FR-0710RL,,,Unknown,LCSC,RC0201FR-0710RL,https://www.lcsc.com/product-detail/C106226.html,,"Sources: BOM_PASTER_8984112A_Y182.xls, BOM_PASTER_8984112A_Y185.xls; Designators: BOM_PASTER_8984112A_Y182.xls: R21,R22; BOM_PASTER_8984112A_Y185.xls: R1,R10",PENDING_ENRICHMENT
C106227,,,Imported from legacy JLC paste BOM,,,,0201-0Ω-1%,RC0201FR-070RL,,,Unknown,LCSC,RC0201FR-070RL,https://www.lcsc.com/product-detail/C106227.html,,"Sources: BOM_PASTER_8984112A_Y182.xls, BOM_PASTER_8984112A_Y185.xls; Designators: BOM_PASTER_8984112A_Y182.xls: R8; BOM_PASTER_8984112A_Y185.xls: R12",PENDING_ENRICHMENT
C106231,,,Imported from legacy JLC paste BOM,,,,9990000051457,贴片电阻,,,Unknown,LCSC,贴片电阻,https://www.lcsc.com/product-detail/C106231.html,,"Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: R43,R57",PENDING_ENRICHMENT
C106235,,,Imported from legacy JLC paste BOM,,,,0402-1K-1%,RC0402FR-071KL,,,Unknown,LCSC,RC0402FR-071KL,https://www.lcsc.com/product-detail/C106235.html,,"Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: R5,R6,R7",PENDING_ENRICHMENT
C110696,,,Imported from legacy JLC paste BOM,,,,9990000056296,贴片ESD管,,,Unknown,LCSC,贴片ESD管,https://www.lcsc.com/product-detail/C110696.html,,"Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19",PENDING_ENRICHMENT
C138135,,,Imported from legacy JLC paste BOM,,,,0201-4.7K-1%,RC0201FR-074K7L,,,Unknown,LCSC,RC0201FR-074K7L,https://www.lcsc.com/product-detail/C138135.html,,"Sources: BOM_PASTER_8984112A_Y182.xls, BOM_PASTER_8984112A_Y185.xls; Designators: BOM_PASTER_8984112A_Y182.xls: R20,R48; BOM_PASTER_8984112A_Y185.xls: R21",PENDING_ENRICHMENT
C138139,,,Imported from legacy JLC paste BOM,,,,0201-47K-1%,RC0201FR-0747KL,,,Unknown,LCSC,RC0201FR-0747KL,https://www.lcsc.com/product-detail/C138139.html,,"Sources: BOM_PASTER_8984112A_Y182.xls, BOM_PASTER_8984112A_Y185.xls; Designators: BOM_PASTER_8984112A_Y182.xls: R15,R18; BOM_PASTER_8984112A_Y185.xls: R8",PENDING_ENRICHMENT
C138165,,,Imported from legacy JLC paste BOM,,,,0201-1K-1%,RC0201FR-071KL,,,Unknown,LCSC,RC0201FR-071KL,https://www.lcsc.com/product-detail/C138165.html,,"Sources: BOM_PASTER_8984112A_Y182.xls, BOM_PASTER_8984112A_Y185.xls, BOM_PASTER_8984112A_Y189.xls; Designators: BOM_PASTER_8984112A_Y182.xls: R35,R36; BOM_PASTER_8984112A_Y185.xls: R23; BOM_PASTER_8984112A_Y189.xls: R1",PENDING_ENRICHMENT
C15725,,,Imported from legacy JLC paste BOM,,,,0603-100nF-100V-10%,0603-100nF-100V-10%,,,Unknown,LCSC,0603-100nF-100V-10%,https://www.lcsc.com/product-detail/C15725.html,,"Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: C7,C15,C23",PENDING_ENRICHMENT
C15771,,,Imported from legacy JLC paste BOM,,,,9980000554037,贴片ESD管,,,Unknown,LCSC,贴片ESD管,https://www.lcsc.com/product-detail/C15771.html,,"Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: D6,D7",PENDING_ENRICHMENT
C160407,,,Imported from legacy JLC paste BOM,,,,9990000051498,接插件,,,Unknown,LCSC,接插件,https://www.lcsc.com/product-detail/C160407.html,,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: J10,PENDING_ENRICHMENT
C161690,,,Imported from legacy JLC paste BOM,,,,58,接插件,,,Unknown,LCSC,接插件,https://www.lcsc.com/product-detail/C161690.html,,"Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: J4,J5,J6,J7",PENDING_ENRICHMENT
C1705,,,Imported from legacy JLC paste BOM,,,,0603-4.7uF-10V-10%,0603-4.7uF-10V-10%,,,Unknown,LCSC,0603-4.7uF-10V-10%,https://www.lcsc.com/product-detail/C1705.html,,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: C51,PENDING_ENRICHMENT
C17701055,,,Imported from legacy JLC paste BOM,,,,9980000531173,NMOS管,,,Unknown,LCSC,NMOS管,https://www.lcsc.com/product-detail/C17701055.html,,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: MOS1,PENDING_ENRICHMENT
C1851993,,,Imported from legacy JLC paste BOM,,,,9990000052803,贴片晶振,,,Unknown,LCSC,贴片晶振,https://www.lcsc.com/product-detail/C1851993.html,,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: Y1,PENDING_ENRICHMENT
C19077592,,,Imported from legacy JLC paste BOM,,,,9990000053188,贴片TVS管,,,Unknown,LCSC,贴片TVS管,https://www.lcsc.com/product-detail/C19077592.html,,Sources: BOM_PASTER_8984112A_Y182.xls; Designators: BOM_PASTER_8984112A_Y182.xls: D4,PENDING_ENRICHMENT
C20198121,,,Imported from legacy JLC paste BOM,,,,暂无料号10,RS485收发器,,,Unknown,LCSC,RS485收发器,https://www.lcsc.com/product-detail/C20198121.html,,"Sources: BOM_PASTER_8984112A_Y182.xls, BOM_PASTER_8984112A_Y185.xls; Designators: BOM_PASTER_8984112A_Y182.xls: U5; BOM_PASTER_8984112A_Y185.xls: U1",PENDING_ENRICHMENT
